hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-11-16 06:00:00,337,67.4903485087284,229.53666666666666,269.5096514912716,107.46333333333334
2017-11-16 07:00:00,844,103.60024267060794,605.0333333333333,740.3997573293921,238.9666666666667
2017-11-16 08:00:00,1234,166.85967042870925,1249.5833333333333,1067.1403295712907,-15.583333333333258
2017-11-16 09:00:00,561,252.0946759886324,496.56,308.9053240113676,64.44
2017-11-16 10:00:00,307,282.12207291418474,223.46,24.87792708581526,83.53999999999999
2017-11-16 11:00:00,369,413.5162415580088,283.61333333333334,-44.5162415580088,85.38666666666666
2017-11-16 12:00:00,482,555.9518554578752,600.3166666666667,-73.95185545787524,-118.31666666666672
2017-11-16 13:00:00,422,583.8717495385712,571.66,-161.87174953857118,-149.65999999999997
2017-11-16 14:00:00,446,624.603089758074,536.7033333333334,-178.60308975807402,-90.70333333333338
2017-11-16 15:00:00,560,573.8053292863573,515.2533333333333,-13.805329286357278,44.74666666666667
2017-11-16 16:00:00,763,560.0794226781456,637.5766666666667,202.92057732185435,125.42333333333329
2017-11-16 17:00:00,1187,546.1462860424327,1040.0833333333333,640.8537139575673,146.91666666666674
2017-11-16 18:00:00,973,541.5465219336959,840.46,431.4534780663041,132.53999999999996
2017-11-16 19:00:00,590,544.9022768678627,501.08,45.097723132137276,88.92000000000002
2017-11-16 20:00:00,385,563.485991114355,340.7133333333333,-178.485991114355,44.28666666666669
2017-11-16 21:00:00,254,490.3990409998165,252.10333333333332,-236.39904099981652,1.8966666666666754
2017-11-16 22:00:00,178,445.3885832992605,168.62333333333333,-267.3885832992605,9.376666666666665
2017-11-16 23:00:00,117,463.97229754575267,117.09,-346.97229754575267,-0.09000000000000341
2017-11-17 00:00:00,54,21.326739027753774,35.78333333333333,32.673260972246226,18.21666666666667
2017-11-17 01:00:00,29,65.67898107354483,94.54666666666667,-36.67898107354483,-65.54666666666667
2017-11-17 02:00:00,9,56.19147836244025,7.56,-47.19147836244025,1.4400000000000004
2017-11-17 03:00:00,7,61.89092870928289,5.193333333333333,-54.89092870928289,1.8066666666666666
2017-11-17 04:00:00,16,66.4259416843426,8.926666666666666,-50.425941684342604,7.073333333333334
2017-11-17 05:00:00,87,56.60149714493775,79.87333333333333,30.398502855062247,7.126666666666665
2017-11-17 06:00:00,278,88.06947529107941,213.27,189.9305247089206,64.72999999999999
2017-11-17 07:00:00,684,133.95408112318648,590.1966666666667,550.0459188768135,93.80333333333328
2017-11-17 08:00:00,1120,221.5335085982889,957.93,898.4664914017111,162.07000000000005
2017-11-17 09:00:00,554,309.245743782001,540.0533333333333,244.754256217999,13.946666666666715
